item,homeportLabel,homeportCountryCode,homeportGeonamesId,ownerLabel,ownerUrl,ownerCountryCode,operatorLabel,operatorUrl,operatorCountryCode,manufacturerLabel,manufacturerUrl,manufacturerCountryCode
http://www.wikidata.org/entity/Q47005392,,,,,,,,,,Q1826035,http://www.lindenau.de/,DE
http://www.wikidata.org/entity/Q47010897,,,,,,,Q47010868,http://www.northsea.no,NO,Metalships & Docks,http://www.metalships.com,ES
http://www.wikidata.org/entity/Q47011255,,,,,,,,,,Brødrene Aa,http://www.braa.no/,NO
http://www.wikidata.org/entity/Q47113085,,,,,,,,,,Q50136501,http://www.aasmek.no,NO
http://www.wikidata.org/entity/Q47114531,Valletta,MT,8334638,,,,,,,Q2638839,http://www.ferus-smit.nl,NL
http://www.wikidata.org/entity/Q47114531,Valletta,MT,2562305,,,,,,,Q2638839,http://www.ferus-smit.nl,NL
http://www.wikidata.org/entity/Q47119690,,,,,,,National Iranian Tanker Company,http://www.nioc.ir/,IR,Hyundai Samho Heavy Industries,http://eng.hshi.co.kr/main/main.asp,KR
http://www.wikidata.org/entity/Q47119690,,,,,,,National Iranian Tanker Company,http://www.nioc.ir/,IR,Hyundai Samho Heavy Industries,http://eng.hshi.co.kr/main/main.asp,KR
http://www.wikidata.org/entity/Q47149801,,,,,,,,,,Q1774285,https://www.kleven.no/,NO
http://www.wikidata.org/entity/Q47149890,Bridgetown,BB,3374036,Wilson,http://www.wilsonship.no,NO,,,,Q56161333,https://pattjewaterhuizen.nl/,NL
http://www.wikidata.org/entity/Q47167177,,,,Solstad Offshore,http://www.solstad.no,NO,,,,Q1774285,https://www.kleven.no/,NO
http://www.wikidata.org/entity/Q47167302,,,,Solstad Offshore,http://www.solstad.no,NO,,,,Q1774285,https://www.kleven.no/,NO
http://www.wikidata.org/entity/Q47167359,,,,Solstad Offshore,http://www.solstad.no,NO,,,,Q1774285,https://www.kleven.no/,NO
http://www.wikidata.org/entity/Q47167480,,,,Solstad Offshore,http://www.solstad.no,NO,,,,Q47109032,http://www.langsten.no,NO
http://www.wikidata.org/entity/Q47293896,,,,,,,,,,Barkmeijer Shipyards,http://www.barkmeijer.com/nl,NL
http://www.wikidata.org/entity/Q47314979,,,,,,,,,,Q1774285,https://www.kleven.no/,NO
http://www.wikidata.org/entity/Q52345658,,,,,,,,,,Jiangnan Shipyard,http://jnshipyard.cssc.net.cn/,CN
http://www.wikidata.org/entity/Q52345724,,,,,,,,,,Barkmeijer Shipyards,http://www.barkmeijer.com/nl,NL
http://www.wikidata.org/entity/Q52345757,,,,,,,,,,"CSBC Corporation, Taiwan",http://www.csbcnet.com.tw/,TW
http://www.wikidata.org/entity/Q52345872,,,,,,,,,,Havyard Group,http://www.havyard.com,NO
http://www.wikidata.org/entity/Q52345885,,,,,,,,,,Q56432811,http://www.zamakonayards.com,ES
http://www.wikidata.org/entity/Q52345901,,,,Höegh Autoliners,http://www.hoeghautoliners.com/,NO,,,,Tsuneishi Shipbuilding,http://www.tsuneishi.co.jp/,JP
http://www.wikidata.org/entity/Q52345995,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52346030,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q52346049,,,,,,,,,,Shin Kurushima Dockyard,http://www.skdy.co.jp/,JP
http://www.wikidata.org/entity/Q52346076,,,,,,,,,,Austal,http://www.austal.com,AU
http://www.wikidata.org/entity/Q52346097,,,,,,,,,,Admiralty Shipyard,http://admship.ru/,RU
http://www.wikidata.org/entity/Q52346115,,,,Höegh Autoliners,http://www.hoeghautoliners.com/,NO,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52346149,,,,,,,,,,Shin Kurushima Dockyard,http://www.skdy.co.jp/,JP
http://www.wikidata.org/entity/Q52346190,,,,,,,,,,Uljanik,http://www.uljanik.hr,HR
http://www.wikidata.org/entity/Q52346205,,,,,,,,,,SLKB Komarno – Slovak Shipyard Komárno,http://www.samstroje.sk/,SK
http://www.wikidata.org/entity/Q52346222,,,,,,,,,,Samsung Heavy Industries,http://www.shi.samsung.co.kr,KR
http://www.wikidata.org/entity/Q52346268,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q52346278,,,,,,,,,,Shin Kurushima Dockyard,http://www.skdy.co.jp/,JP
http://www.wikidata.org/entity/Q52346326,,,,,,,,,,"CSBC Corporation, Taiwan",http://www.csbcnet.com.tw/,TW
http://www.wikidata.org/entity/Q52346353,,,,,,,,,,Samsung Heavy Industries,http://www.shi.samsung.co.kr,KR
http://www.wikidata.org/entity/Q52346364,,,,,,,,,,Fjellstrand,http://www.fjellstrand.no/,NO
http://www.wikidata.org/entity/Q52346494,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52346503,,,,,,,,,,"CSBC Corporation, Taiwan",http://www.csbcnet.com.tw/,TW
http://www.wikidata.org/entity/Q52346529,,,,,,,,,,"CSBC Corporation, Taiwan",http://www.csbcnet.com.tw/,TW
http://www.wikidata.org/entity/Q52346563,,,,,,,,,,Q47109032,http://www.langsten.no,NO
http://www.wikidata.org/entity/Q52346599,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52346614,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52346623,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52346641,,,,,,,,,,Austal,http://www.austal.com,AU
http://www.wikidata.org/entity/Q52346653,,,,,,,,,,Samsung Heavy Industries,http://www.shi.samsung.co.kr,KR
http://www.wikidata.org/entity/Q52346674,,,,,,,,,,"Mitsui E&S Holdings Co., Ltd.",http://www.mes.co.jp/,JP
http://www.wikidata.org/entity/Q52346687,,,,,,,,,,"Mitsui E&S Holdings Co., Ltd.",http://www.mes.co.jp/,JP
http://www.wikidata.org/entity/Q52346697,,,,,,,,,,Shin Kurushima Dockyard,http://www.skdy.co.jp/,JP
http://www.wikidata.org/entity/Q52346720,,,,,,,,,,Shin Kurushima Dockyard,http://www.skdy.co.jp/,JP
http://www.wikidata.org/entity/Q52346729,,,,,,,,,,Shin Kurushima Dockyard,http://www.skdy.co.jp/,JP
http://www.wikidata.org/entity/Q52346744,,,,,,,,,,Samsung Heavy Industries,http://www.shi.samsung.co.kr,KR
http://www.wikidata.org/entity/Q52346755,,,,,,,,,,Naikai Zosen Corporation,http://www.naikaizosen.co.jp/,JP
http://www.wikidata.org/entity/Q52346782,,,,,,,,,,Imabari Shipbuilding,http://www.imazo.co.jp/,JP
http://www.wikidata.org/entity/Q52346808,,,,,,,,,,Q16565979,http://www.factoriasvulcano.com,ES
http://www.wikidata.org/entity/Q52346829,,,,,,,,,,Orskov Yard,https://www.orskov.dk/,DK
http://www.wikidata.org/entity/Q52346850,,,,,,,,,,Harland and Wolff,http://www.harland-wolff.com/,GB
http://www.wikidata.org/entity/Q52346857,,,,,,,,,,Japan Marine United Corporation,http://www.jmuc.co.jp/,JP
http://www.wikidata.org/entity/Q52346915,,,,,,,,,,Barkmeijer Shipyards,http://www.barkmeijer.com/nl,NL
http://www.wikidata.org/entity/Q52346937,,,,,,,,,,Howaldtswerke-Deutsche Werft,http://www.hdw.de/,DE
http://www.wikidata.org/entity/Q52346961,,,,,,,,,,BAE Systems Maritime – Naval Ships,http://www.baesystems.com/Businesses/SurfaceShips/index.htm,GB
http://www.wikidata.org/entity/Q52346991,,,,,,,,,,Azimut,http://www.azimutyachts.com/,IT
http://www.wikidata.org/entity/Q52347003,,,,,,,,,,Nordseewerke,http://www.nordseewerke.com,DE
http://www.wikidata.org/entity/Q52347019,,,,,,,,,,Nordseewerke,http://www.nordseewerke.com,DE
http://www.wikidata.org/entity/Q52347097,,,,,,,,,,Austal,http://www.austal.com,AU
http://www.wikidata.org/entity/Q52347107,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52347119,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52347133,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52347144,,,,,,,,,,MV Werften Rostock GmbH,http://www.mv-werften.com/de/mv-werften/standort-rostock.html,DE
http://www.wikidata.org/entity/Q52347168,,,,,,,,,,Nordic Yards Wismar,https://www.mv-werften.com/,DE
http://www.wikidata.org/entity/Q52347178,,,,,,,,,,Nordic Yards Wismar,https://www.mv-werften.com/,DE
http://www.wikidata.org/entity/Q52347300,,,,,,,,,,Baltic Shipyard,http://www.bz.ru,RU
http://www.wikidata.org/entity/Q52347314,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52347322,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52347332,,,,,,,,,,Daewoo Shipbuilding & Marine Engineering,http://www.dsme.co.kr/,KR
http://www.wikidata.org/entity/Q52347351,,,,,,,,,,Kawasaki Heavy Industries Ship & Offshore Structure Company,http://www.khi.co.jp/ship/,JP
http://www.wikidata.org/entity/Q52347415,,,,,,,,,,Austal,http://www.austal.com,AU
http://www.wikidata.org/entity/Q52347426,,,,,,,,,,Austal,http://www.austal.com,AU
http://www.wikidata.org/entity/Q52347436,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q52347447,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q52347456,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
http://www.wikidata.org/entity/Q52347469,,,,,,,,,,Hyundai Heavy Industries,http://english.hhi.co.kr/,KR
