num_imo,nom_navire,num_immat_francais,num_mmsi,chantier_construction,annee_construction,puissance_administrative,puissance_propulsive,longueur_hors_tout,jauge_londres,armateur_exploitant,materiau_coque,date_francisation,type_carburant,quartier,genre_navigation,date_debut_pa_commerce,date_fin_pa_commerce,date_debut_pa_peche_culture,date_fin_pa_peche_culture
,SANTA MARIA,803100,227376260,TERTU,1991,96,96,"8,82","7,62",PARADISU MARINU,PLASTIQUE,2015-05-22,GAZOLE,AJACCIO,Navigation côtière,2018-01-01,,,
,TOPAZE,804161,,,1993,4,4,"4,7",,,AG/4 - ALU,2011-10-05,ESSENCE,BREST,Conchyl.Pure,,,2018-01-01,
,LEWILL,832502,347012790,,1991,44,44,"6,5","0,97",,PLASTIQUE,1998-11-21,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,BIG DEAL,832591,347014170,,1991,103,103,"6,51","2,7",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Plaisance NC,2019-02-21,,,
,GROS RENE,832791,347019730,,1992,85,85,"7,14","0,48",,PLASTIQUE,2009-06-15,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TI JOSEPH 2,832808,347010630,,1992,108,108,"7,77","0,59",,PLASTIQUE,2008-01-18,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,JAPONAIS,832814,,,1991,29,29,"6,32","0,75",,PLASTIQUE,2000-06-26,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,DIDI II,832824,,,1992,40,40,"6,3","0,23",,PLASTIQUE,2006-10-30,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,BOBARTH,832957,,,1992,7,7,"5,76","0,17",,PLASTIQUE,2008-01-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LUCKY,833030,347010510,,1993,110,110,"7,3","2,39",,PLASTIQUE,2009-04-24,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,LE PROFESSEUR,833194,,INCONNU,1993,18,18,"6,2","0,74",,PLASTIQUE,2004-12-30,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,C' GRATEL,833204,,DRACIUS,1992,,,"6,11","0,21",,PLASTIQUE,2008-01-23,INCONNU,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,SURIO'STREA,834235,,,1995,103,103,"6,03",,,PLASTIQUE,2002-04-22,ESSENCE,CAEN,Conchyl.Pure,,,2018-01-01,
,LE NOMADE,834312,,BENETEAU,1993,59,59,"6,8","2,65",,POLYESTER EPOXY,2014-01-20,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,PAQUERETTE,838496,347015070,,1992,63,63,"5,9","1,07",,PLASTIQUE,2004-05-03,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TWO-THOU,838758,347009460,,1992,441,441,"12,03","5,63",,PLASTIQUE,2008-05-07,GAZOLE,FORT DE FRANCE,Plaisance NC,2019-03-07,,,
,LEPS,838896,329014820,,1994,85,85,"5,75","1,69",,PLASTIQUE,2004-05-25,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-14,
