num_imo,nom_navire,num_immat_francais,num_mmsi,chantier_construction,annee_construction,puissance_administrative,puissance_propulsive,longueur_hors_tout,jauge_londres,armateur_exploitant,materiau_coque,date_francisation,type_carburant,quartier,genre_navigation,date_debut_pa_commerce,date_fin_pa_commerce,date_debut_pa_peche_culture,date_fin_pa_peche_culture
,CYNTHIA-MANON,630168,,,1996,29,29,"6,2","1,06",,PLASTIQUE,2002-08-05,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,ROZ-BREIZH,672792,227357010,JEANNEAU,1984,96,96,"6,98","2,18",,POLYESTER EPOXY,2009-08-11,GAZOLE,LES SABLES D'OLONNE,Petite pêche,,,2018-01-01,
,MARIUS,679424,227845470,,1986,24,24,"5,89",2,,BOIS,2002-03-28,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,STE ANNE 2,680313,,BANDOL,1987,15,15,6,"2,03",,PLASTIQUE,1999-11-26,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,ELLE ET MOI,691675,227806620,,1986,88,88,"20,49","0,1",,POLYESTER EPOXY,2018-04-03,ESSENCE,AURAY,Plaisance NC,2018-04-27,,,
,ALSACE 2,692630,,,1992,18,18,"5,5","0,51",,PLASTIQUE,,ESSENCE,SAINT DENIS DE LA REUNION,Petite pêche,,,2018-01-01,
,MAMERLON II,692704,,,1992,11,11,"5,5","1,03",,PLASTIQUE,2008-08-12,ESSENCE,SAINT DENIS DE LA REUNION,Petite pêche,,,2018-01-01,
,ZAM ZAM,692896,,,1994,18,18,"5,5","0,51",,PLASTIQUE,2000-08-09,ESSENCE,SAINT DENIS DE LA REUNION,Petite pêche,,,2018-01-01,2019-09-16
,VINCENT,692920,,,1994,18,18,"5,5","0,51",,PLASTIQUE,2009-04-06,ESSENCE,SAINT DENIS DE LA REUNION,Petite pêche,,,2018-08-22,
,PRISE DE BEC,696512,,,1987,22,22,"6,1","0,69",,PLASTIQUE,2003-07-15,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,PARRAIN-TO,696537,,,1987,29,29,"6,5","1,09",,PLASTIQUE,,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TI PAUL,696630,,DRACIUS,1987,22,22,"6,13","0,7",,PLASTIQUE,2008-07-16,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,JE CROIS EN DIEU,696747,,,1987,22,22,"6,1","0,73",,PLASTIQUE,2017-04-12,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,JIOVANY,696852,,,1987,,,"5,77","0,19",,POLYESTER EPOXY,2011-11-28,,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TRONE DE L AGNEAU,696916,347007910,,1988,65,65,"7,13","1,76",,PLASTIQUE,2006-06-12,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,BON BAGAY,697081,347017250,,1988,110,110,7,,,POLYESTER EPOXY,2010-05-20,ESSENCE,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,PAS DIGUE,697178,,,1985,18,18,"6,33","0,75",,PLASTIQUE,2003-04-30,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,SALOMON FIRST,697299,227314810,,1989,85,85,7,"1,52",,PLASTIQUE,2000-04-14,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,SHAITAN,741612,,,1989,96,96,"7,25","3,02",,PLASTIQUE,2001-02-14,ESSENCE,AJACCIO,Petite pêche,,,2018-01-01,
,BAMBINOCHE,741759,,,1989,44,44,"6,45",,,PLASTIQUE,1995-06-14,ESSENCE,SETE,Conchyl.Pure,,,2018-01-01,
,GAILLARD,742053,,,1990,160,160,"10,6","6,86",,PLASTIQUE,1990-07-10,GAZOLE,PORT VENDRES,Petite pêche,,,2018-06-14,
,LA RAIE MANTA,744521,,ATELIER C VIELLE FORME,1988,110,110,"8,66","2,61",,METAL,2000-02-08,ESSENCE,TOULON,Navigation côtière,2018-01-01,,,
,VALENTIN,745236,227683110,ASTILLEROS DEL MAR,1988,61,61,"6,54","2,93",,PLASTIQUE,2006-02-20,GAZOLE,TOULON,Petite pêche,,,2018-01-01,
,TARA,748443,226070000,FRANCE,1989,700,700,"35,9",169,,METAL,2004-01-21,GAZOLE,Marseille (RIF),Long Cours,2018-01-01,,,
,SOLSTICE,749960,227549530,ALLAIS,1991,,,"8,95",,,AG/4 - ALU,1991-07-23,,LA ROCHELLE,,2018-01-01,,,
,ROSE-MA-ELLE II,750712,227768230,CN BIDORE ,1988,109,109,"8,3","1,98",,PLASTIQUE,1988-12-23,GAZOLE,AURAY,Petite pêche,,,2018-01-01,
,LA ROSE DES VENTS,757805,347012940,,1989,,,"13,93","20,53",,POLYESTER EPOXY,,,FORT DE FRANCE,Plaisance Cabot.Int.,2019-04-24,,,
,REGY BALADE,757933,329006550,,1986,220,220,"9,5","5,3",,PLASTIQUE,2003-08-28,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-18,
,LA GRENOUILLE,758235,,,1990,63,63,"5,92","1,33",,PLASTIQUE,2004-02-17,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TY PUNCH,758562,329020160,,1990,15,15,"10,3","11,74",,CONTREPLAQUE,2019-01-02,ESSENCE,POINTE A PITRE,Plaisance NC,2019-01-08,,,
,TIA MARIA,758594,329012490,,1990,118,118,"6,9","2,35",,PLASTIQUE,2004-06-09,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-03-18,
,ANALOISE,760271,,PECH'ALU,1989,66,66,9,,,METAL,2006-08-04,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,L'ARCHANGE,765788,227023730,,1990,552,552,"11,9",1,,PLASTIQUE,1990-02-15,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,PILINE,775308,,,1990,6,6,"4,6","0,69",,AG/4 - ALU,2012-02-21,ESSENCE,VANNES,C.M.PetitePêche,,,2018-01-01,
,ANDRE PASCAL 2,776395,,LOU PESCAIRE,1989,36,36,"6,7","2,3",,PLASTIQUE,2010-04-12,GAZOLE,AJACCIO,,,,2018-01-01,
,FLASH 2,779039,347010550,,1988,62,62,"5,93","0,59",,POLYESTER EPOXY,2009-03-31,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LES ALLIES,779094,347005140,,1990,63,63,"7,13","1,66",,PLASTIQUE,2001-12-28,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,HERACLES,805544,,,1991,37,37,"5,4","1,14",,PLASTIQUE,2001-10-16,GAZOLE,POINTE A PITRE,Petite pêche,,,2019-04-17,
,COEMMA,805586,,,1991,88,88,"5,9","1,3",,PLASTIQUE,1991-10-23,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-04-11,
,ANDREMON,805644,,,1991,7,7,"4,2","0,47",,PLASTIQUE,2002-01-08,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-05-15,
,LOULOU MAMATCH,805833,227302630,,1992,184,184,"7,6","2,12",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,PELICAN,806961,227221880,,1991,250,250,"9,08","4,45",,PLASTIQUE,2019-02-01,ESSENCE,AJACCIO,Navigation côtière,2019-05-13,,,
,KARMA,807566,227702420,FOUNTAINE PAJOT,1989,,,"10,84","15,59",,PLASTIQUE,1990-01-12,INCONNU,AJACCIO,Navigation côtière,2018-01-01,,,
,ALDITO,807599,,,1991,184,184,"9,33","4,21",,PLASTIQUE,1991-04-12,GAZOLE,MARSEILLE,,,,2019-07-01,
,FABIO LENA,808004,227855340,NEPTUNE,1991,110,110,"8,23","3,41",,POLYESTER EPOXY,1991-01-01,ESSENCE,SETE,Petite pêche,,,2018-05-03,2019-09-16
,HANNIBAL,812336,227758240,MAKO,1992,147,147,"6,85","2,57",,PLASTIQUE,1992-04-17,GAZOLE,NICE,Petite pêche,,,2018-01-01,
,NATHALIE,819729,,,1992,37,37,"6,4","1,41",,POLYESTER EPOXY,2017-02-27,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,FIZZ 2,820435,227854350,SARL LALLEMAND,1992,74,74,7,"1,99",,PLASTIQUE,1992-07-22,ESSENCE,PORT VENDRES,Petite pêche,,,2018-01-01,
,TOM,820490,,,1992,29,29,"5,18","0,58",,PLASTIQUE,1997-09-24,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,SHAYNESSE,820644,227905150,,1992,147,147,"9,3","3,34",,PLASTIQUE,1992-10-06,ESSENCE,SETE,Petite pêche,,,2019-05-07,
,SOFMARINES,820809,,,1983,44,44,"6,17","1,23",,POLYESTER EPOXY,2018-09-07,ESSENCE,SETE,,,,2018-09-25,
,LUCIE,821392,,CHANTIER ALLEMAND,1993,37,37,"5,14","1,2",,POLYESTER EPOXY,,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,L'ALANCYNA,827905,,GOSSELIN,1994,28,28,"6,05","1,75",,METAL,2006-06-21,ESSENCE,CAEN,Conchyl.Pure,,,2018-01-01,
,NAANOUCK,829091,,,1995,85,85,"5,5","1,35",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,NYMPHEA 2,830382,227773990,ALLEMAND,1992,74,74,7,"1,34",,PLASTIQUE,2006-05-19,ESSENCE,AJACCIO,Petite pêche,,,2018-01-01,
,PAULINES,845938,,GARREAU,1993,44,44,"7,14",,,METAL,1993-04-16,ESSENCE,NOIRMOUTIER,Conchyl.Pure,,,2018-01-01,
,L'ECLAIR,849216,,,1992,22,22,"5,1","1,83",,AUTRES,1994-11-07,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,TIFOLIE,853358,347019010,AMERICAN MARINE - PROLINE,1993,220,220,"7,76","5,58",,PLASTIQUE,2018-02-20,ESSENCE,POINTE A PITRE,Plaisance NC,2019-01-31,,,
,DALILA,853388,,,1993,35,35,"6,72","1,09",,PLASTIQUE,1999-11-29,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,THE TEAM,853730,347019790,,1994,85,85,"6,52","1,4",,PLASTIQUE,2011-01-31,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-02-21,
,RISING SUN II,853835,347009240,FORT DE FRANCE,1994,110,110,"7,01","0,65",,PLASTIQUE,2007-12-12,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ATLANTIQUE NORD,853965,,,1994,18,18,"6,1","0,71",,POLYESTER EPOXY,2010-08-23,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-02-26,
,NAWEL,853971,347000810,,1994,29,29,"6,12","1,27",,PLASTIQUE,2001-12-11,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,VIVIANE,854000,347003760,,1996,18,18,"6,2","0,77",,PLASTIQUE,1999-12-28,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,STEEVENS,854090,347001260,,1997,85,85,7,"2,15",,PLASTIQUE,1997-05-28,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,CE QUI DONNE RECOIT,854132,,,1997,29,29,"6,05","0,9",,PLASTIQUE,2003-01-27,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,PETIT JULO,858929,227604860,,1991,110,110,7,"2,23",,PLASTIQUE,1993-09-23,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,LOU ROMEO,861643,227839660,ARCOA ,1973,60,60,"6,7","2,32",,POLYESTER EPOXY,2019-01-10,GAZOLE,NICE,Petite pêche,,,2019-01-15,
9245354,ARANUI 3,862782,,,2000,4160,3840,117,7325,,METAL,2002-06-20,GAZOLE,PAPEETE,,2018-01-01,,,
,JOJO,864584,,,1995,22,22,"8,8",,,METAL,2003-05-06,ESSENCE,MARENNES,Conchyl.Pure,,,2018-01-01,
,MAELU II,865745,227270890,NAVIMOTORS,1995,294,294,"10,72","5,64",,PLASTIQUE,2013-07-02,GAZOLE,MARSEILLE,Petite pêche,,,2018-01-01,
,OFNI,870019,,,1994,29,29,"6,12","1,47",,PLASTIQUE,2009-08-06,ESSENCE,NOIRMOUTIER,,,,2018-01-01,
,PELAGIA,870575,347017610,,1994,,,"18,6",75,,POLYESTER EPOXY,,,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,SILENCE 2,889697,,LES ALIZES,1995,11,11,"3,95","0,39",,PLASTIQUE,2004-10-13,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-05-21,
,M-B,889734,,,1995,441,441,"11,88","5,77",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Plaisance NC,2018-07-10,,,
,LE CONDOR,889795,,,1995,35,35,"6,32","0,94",,PLASTIQUE,2007-01-11,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ADONAI JIRE,889957,,DRACIUS,1995,29,29,"6,1","0,22",,PLASTIQUE,2006-10-03,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,SE TU UMA BENCAO,889977,,,1995,19,19,"6,2","0,7",,POLYESTER EPOXY,2014-12-12,ESSENCE,CAYENNE,Petite pêche,,,2018-01-01,
,MAGNIFICAT,890143,227312270,,1997,85,85,"7,2","0,66",,PLASTIQUE,2012-01-04,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,TOTOBLO,890175,,,1998,110,110,"7,6","2,41",,PLASTIQUE,,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,OU TRO JALOU,890184,227312920,,1998,63,63,"6,5","1,93",,PLASTIQUE,2015-05-05,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,STE CATHERINE,890249,347005810,,1999,63,63,"5,89","1,21",,PLASTIQUE,2002-08-20,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,LOUEZ JAH,890277,,,1999,55,55,7,"2,41",,POLYESTER EPOXY,1999-11-10,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,NATHAN,890399,347004920,INCONNU,1995,257,257,"8,2","3,47",,PLASTIQUE,2004-10-15,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,MAGUY I,890837,,,1993,29,29,"5,7","0,98",,PLASTIQUE,2003-10-13,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,IZY II,892761,227948990,,1996,74,74,"6,1","1,74",,POLYESTER EPOXY,2015-12-17,ESSENCE,SETE,Petite pêche,,,2018-01-01,2019-09-16
,TEPEE,893953,227654310,JOYON FRANCIS,1997,,,"13,95",10,,PLASTIQUE SANDWICH,1997-09-18,,MARENNES,Plaisance NC,2018-01-01,,,
,ZWEZO,902663,227111780,,1986,37,37,"12,6",,,PLASTIQUE,2004-04-29,GAZOLE,BASTIA,,2018-04-11,,,
,EULALIE,903675,227344820,,1995,36,36,"10,29",,,BOIS,2001-11-08,GAZOLE,PAIMPOL,Plaisance NC,2018-01-01,,,
,LULU,905109,227478360,,1996,43,43,10,"4,35",,POLYESTER EPOXY,2016-05-23,GAZOLE,ARCACHON,Plaisance NC,2018-04-05,,,
,MANDARINE,905163,227083620,RABA,1996,63,63,"10,82",,,BOIS,2010-06-14,GAZOLE,ARCACHON,Plaisance NC,2018-01-01,,,
,GRENADINE,906019,,,1995,,,"14,35","41,99",,PLASTIQUE,,,MARSEILLE,Plaisance NC,2018-01-01,,,
,TOUPITI,933628,347019640,,1997,221,221,"11,06","7,2",,POLYESTER EPOXY,,GAZOLE,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,MALINO,933026,227761260,,1997,,,"14,94","25,48",,POLYESTER EPOXY,2015-02-13,,CHERBOURG,Plaisance Cabot.Int.,2018-01-01,,,
,LOURETTE 2,931198,,BALOIN,1979,5,5,"3,8","1,01",,POLYESTER EPOXY,2012-09-03,ESSENCE,MORLAIX,Petite pêche,,,2018-01-01,
,HORS PISTE,934614,227483230,,1998,242,242,"11,95","9,39",,ALLIAGE LEGER,2017-05-18,GAZOLE,BASTIA,Plaisance NC,2018-03-01,2018-06-02T00:00:00.000+02:00,,
,JOEL-VALERIE IV,935583,227909760,ARCOA,1979,99,99,9,"3,42",,POLYESTER EPOXY,,ESSENCE,SETE,Petite pêche,,,2019-01-16,
,BLESS,926642,,INCONNU,1999,44,44,"4,8","0,55",,PLASTIQUE,2011-02-09,ESSENCE,ARCACHON,Petite pêche,,,2018-06-25,
,FLIBUSTIER,932701,329013960,FOUNTAIN PAJOT,1998,352,352,"11,18","17,34",,PLASTIQUE,2014-09-29,GAZOLE,POINTE A PITRE,Plaisance NC,2018-03-16,,,
,HANOIS,933688,227604610,DUFOUR,1999,,,"13,68",,,POLYESTER EPOXY,1999-09-30,,CHERBOURG,Plaisance NC,2018-01-01,,,
,SAINT ANN,930026,227110730,,1999,125,125,"9,1","5,13",,POLYESTER EPOXY,2018-11-06,GAZOLE,BAYONNE,Navigation côtière,2019-01-07,,,
,TRAVAIL BEL,900033,,THELAMONT,2000,6,6,"4,68","1,75",,PLASTIQUE,2005-11-18,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,ALTAIR,935102,227842340,CHANTIERS NAVALS RABA,2001,60,60,"10,5","6,44",,POLYETHYLENE,,GAZOLE,ARCACHON,Plaisance NC,2018-04-04,,,
,LOUNA,926657,,ALLEMAND,2001,74,74,"7,8","2,1",,PLASTIQUE,2008-08-01,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,EURO STAR,919418,329001550,,2001,221,221,"7,86","3,37",,PLASTIQUE,2002-03-18,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-03-07,
,KINNERET,919626,329002340,SAHATI KARUPLAST,2001,65,65,"5,89","1,21",,PLASTIQUE,2018-08-29,GAZOLE,POINTE A PITRE,Petite pêche,,,2019-02-21,
,MAHI-MAKAIRA,931039,347013230,,2002,85,85,"6,4","1,73",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,CHUPPA CHUPS,932881,227483720,MASTER,2002,184,184,"8,75",10,,POLYESTER EPOXY,2015-03-03,GAZOLE,MARSEILLE,Plaisance NC,2018-01-01,,,
,MORGANE,932366,227279230,JEANNEAU,2003,708,708,"14,22","25,82",,POLYESTER EPOXY,2014-03-27,GAZOLE,ILE D'OLERON,Plaisance NC,2018-01-01,,,
,CORIOLAN VI,930734,226256000,MULTIYACHT COMPOSITI,2003,,,"23,75","113,21",,POLYESTER EPOXY,2003-10-31,,NICE,,2018-01-01,2019-09-16T00:00:00.000+02:00,,
,MARIE-THE,928824,,PRO 2000,2003,77,77,"5,95","1,95",,POLYESTER EPOXY,2010-05-27,ESSENCE,NICE,Petite pêche,,,2018-01-01,
,LARIMAR,931034,227196680,FAILLA CHRISTIAN,2003,260,260,"10,8","9,67",,POLYESTER EPOXY,2012-06-07,GAZOLE,MARSEILLE,Navigation côtière,2018-01-01,,,
,LA JULIE II,930725,,,1974,13,13,"6,37","2,13",,POLYESTER EPOXY,,GAZOLE,AJACCIO,Petite pêche,,,2018-01-01,
,TEXEL IV,931425,227360380,CAPARROS,2003,368,368,"10,3","3,97",,POLYESTER EPOXY,2004-11-04,ESSENCE,NICE,Navigation côtière,2018-01-01,2019-09-16T00:00:00.000+02:00,,
,TOULOULOU,900011,227557020,,2003,44,44,"11,95",0,,PLASTIQUE,2003-09-26,GAZOLE,BOULOGNE SUR MER,Plaisance NC,2018-01-01,,,
,DEGOUZI,935409,227557410,,2003,128,128,128,1,,POLYESTER EPOXY,2018-03-14,GAZOLE,BAYONNE,Navigation côtière,2018-08-02,,,
,L'INVINCIBLE,924834,227598850,MASTER VENOVIA,2003,154,154,"7,35",,,PNEUMATIQUE,2003-10-28,GAZOLE,LORIENT,Lamanage Nav cot,2018-01-01,,,
,LAOWAI,919635,,KARUPLAST,2004,74,74,"5,89","1,21",,PLASTIQUE,2005-04-01,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-01-21,
,L'INKO,934990,329017550,JEANNEAU,2003,22,22,"10,95","9,5",,PLASTIQUE,2017-11-28,GAZOLE,POINTE A PITRE,Plaisance NC,2018-01-01,,,
,FUTUNA,925552,347002780,CNB,2004,,,"17,06",,,PLASTIQUE,2004-07-26,INCONNU,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,MESSAGER DE L'ESTUAIRE,933924,227433150,,2005,169,169,"7,73","2,13",,ALLIAGE LEGER,2016-05-02,GAZOLE,ARCACHON,Plaisance NC,2019-04-29,,,
,LES AMIS DE NADIERE,934788,,CHANTIER ALLEMAND,2005,85,85,"7,15","2,25",,POLYESTER EPOXY,2005-05-27,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,CARO,874782,228232900,OVERMARINE,2005,2208,2208,"21,98",,,PLASTIQUE,,GAZOLE,NICE,Plaisance Cabot.Int.,2018-01-01,,,
,YELLOW FINN,935166,227851950,SEASWIRL BOATS,2005,165,165,"9,04",2,,PLASTIQUE,2005-06-23,GAZOLE,BAYONNE,Navigation côtière,2018-06-29,,,
,NABRIMAX II,930485,227626210,RUE DE L YSER 33470 GUJAN MESTRORS,2005,1544,1544,"19,45",,,POLYESTER EPOXY,2005-07-27,GAZOLE,TOULON,Plaisance NC,2018-01-01,,,
,BYSANCE I,935550,329003860,ALLIANCE MARINE SA,2005,79,79,"14,95","35,46",,PLASTIQUE,2018-10-22,GAZOLE,POINTE A PITRE,Plaisance NC,2019-01-23,,,
,TAHUATA,900039,228047600,ALLIAURA,2005,,,"17,82",,,PLASTIQUE,2005-09-22,,SETE,Plaisance Cabot.Int.,2018-01-01,,,
,HARMONY I,935150,227635540,PRINCESS YACHT INTERNATIONAL,2004,706,706,"13,26",,,POLYESTER EPOXY,2017-12-29,GAZOLE,LE GUILVINEC,Navigation côtière,2018-06-18,,,
,CALA,930155,227787340,,2006,,,"11,93","17,81",,PLASTIQUE SANDWICH,,,PORT VENDRES,Plaisance NC,2018-01-01,,,
,KONGLA,926397,329004730,FORBIN JEAN,2006,331,331,"9,15","5,16",,PLASTIQUE,2007-06-05,ESSENCE,POINTE A PITRE,Petite pêche,,,2019-04-16,
,INTERLUDE,932050,329013190,,2006,169,169,"6,55","1,73",,PLASTIQUE,2013-08-27,ESSENCE,POINTE A PITRE,Plaisance NC,2019-01-09,,,
,MC LEONE,853725,,,1994,165,165,"9,25","3,83",,PLASTIQUE,1997-06-13,ESSENCE,FORT DE FRANCE,,,,2018-01-01,
,ROBEN,934154,227698750,,2007,169,169,"7,48","3,86",,POLYESTER EPOXY,2007-02-14,GAZOLE,BAYONNE,Plaisance NC,2018-01-01,,,
,FREEBAY,933962,,,2006,74,74,10,"3,22",,POLYESTER EPOXY,2016-06-24,GAZOLE,ARCACHON,Plaisance NC,2019-03-22,,,
,MON PERE,454877,,,1954,36,36,"6,5","0,19",,BOIS,2008-02-28,ESSENCE,FORT DE FRANCE,Petite pêche,,,2019-05-21,
,LA MOULIERE,932999,,,2007,37,37,"6,2",1,,AG/4 - ALU,,ESSENCE,BOULOGNE SUR MER,Conchyl.Pure,,,2018-01-01,
,TAXI,926057,227668630,CANTIERI CAPELLI SRL,2006,169,169,"7,48","3,3",,PLASTIQUE,2006-07-03,ESSENCE,ARCACHON,Plaisance NC,2019-05-14,,,
,COBIA,933594,329015030,SEASWIRL BOATS,2006,110,110,"5,64","1,01",,PLASTIQUE,2015-09-17,ESSENCE,POINTE A PITRE,,2018-01-10,,,
,ID'ILE,932202,329013370,,2007,294,294,9,"3,64",,POLYESTER EPOXY,2013-12-09,ESSENCE,POINTE A PITRE,Plaisance NC,2018-01-01,,,
,SEDO 3,874866,227231990,ZODIAC INTERNATIONAL,2007,149,149,"6,95","1,3",,PNEUMATIQUE,2008-03-19,ESSENCE,NICE,Plaisance NC,2019-01-18,,,
,LE DYL,697261,347004760,,1989,63,63,"7,47","0,6",,PLASTIQUE,2008-10-10,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,SALOME,833094,347002730,,1993,169,169,"7,8","4,05",,PLASTIQUE,2015-04-09,ESSENCE,FORT DE FRANCE,Petite pêche,,,2018-01-01,
,OCEAN-AVENTURES,933603,227110030,,2007,552,552,"10,43","3,91",,PNEUMATIQUE,2015-10-22,ESSENCE,LE GUILVINEC,Navigation côtière,2018-05-28,,,
,TONY,859042,227039870,,1983,29,29,"5,75","0,64",,PLASTIQUE,2008-07-15,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,FLAVELO,926188,,GOSSELIN,2007,36,36,"5,5","1,52",,METAL,2007-12-04,ESSENCE,CAEN,Conchyl.Pure,,,2018-01-01,
,AS DE COEUR II,933722,,,2007,235,235,"11,95","7,63",,POLYESTER EPOXY,,GAZOLE,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,L ARCHE DE CHLOE,932882,227354150,SACS SARL ZIBIDO,2008,220,220,"8,75",10,,POLYESTER EPOXY,2015-05-03,GAZOLE,MARSEILLE,Plaisance NC,2018-01-01,,,
,CAP' ONE,932534,,,2008,15,15,"9,21",8,,POLYESTER EPOXY,2014-06-20,GAZOLE,BASTIA,Plaisance NC,2018-01-01,,,
,FRAN-MA-GI,436711,,,1980,52,52,"6,45","0,55",,POLYESTER EPOXY,1980-04-11,ESSENCE,SETE,Petite pêche,,,2019-03-20,
,COCONUT,931145,227773760,PRINCESS YACHTS INTERNATIONAL,2008,1177,1177,"16,1","0,1",,POLYESTER EPOXY,2008-06-24,GAZOLE,NICE,,2018-01-01,2019-09-16T00:00:00.000+02:00,,
,SCORPIO TWO,933112,227284030,,2005,331,331,"9,15","9,49",,POLYESTER EPOXY,2018-08-22,ESSENCE,BASTIA,,2018-08-29,,,
,HOT SHOTS,934462,,,2007,662,662,"10,66","6,64",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Plaisance NC,2019-02-21,,,
,HOTEL DU  CAP- EDEN ROC,931164,227202350,SILLINGER,2008,221,221,"9,05","0,05",,AUTRES,2012-07-26,ESSENCE,NICE,Plaisance NC,2019-05-02,,,
,MANSATHAU,930863,227178980,INDIGO YACHT,2008,,,"10,89","15,5",,PLASTIQUE,2012-04-16,,SETE,Navigation côtière,2018-01-01,,,
,SAINT LAURENT,249813,,,1973,7,7,"5,59","0,78",,PLASTIQUE,2015-01-29,ESSENCE,SETE,Petite pêche,,,2018-01-01,
,FRAM,322386,,,1962,37,37,"9,81",,,BOIS,1975-06-06,ESSENCE,ARCACHON,Plaisance NC,2018-01-01,,,
,FISH ON,933944,347019780,,2008,441,441,"9,68","8,8",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,SAINT LAURENT,899779,660006890,,2001,59,59,"5,94","1,75",,PLASTIQUE,,ESSENCE,SAINT DENIS DE LA REUNION,Petite pêche,,,2018-01-01,
,MILLENIUM,932642,347017870,,2008,331,331,"7,98","3,76",,POLYESTER EPOXY,,ESSENCE,FORT DE FRANCE,Plaisance NC,2018-01-01,,,
,LOUISE,933882,227415370,CANTIERI NAVALI DI MEDITERRANEA SPA,2008,1176,1176,"16,03","26,12",,POLYESTER EPOXY,,GAZOLE,AJACCIO,Navigation côtière,2019-07-17,,,
,PEC'HEDIG II,638316,227852790,,1987,103,103,"7,55",1,,PLASTIQUE,1987-06-03,GAZOLE,AUDIERNE,,,,2018-05-07,
,BRO WAROK,113691,228351600,,1948,88,88,"15,26",,,BOIS,1992-06-25,GAZOLE,LORIENT,Navigation côtière,2018-04-24,,,
,GLAZIK,113967,,,1970,22,22,"6,7","3,27",,BOIS,2003-03-26,GAZOLE,BREST,Petite pêche,,,2018-01-01,
,TON JOS,114654,227465690,,1972,44,44,"7,52","0,99",,BOIS,1982-06-25,GAZOLE,LE GUILVINEC,Petite pêche,,,2018-01-01,
