imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
9726451,MAERSK TANGIER,Oil tanker,2019.0,EEDI (4.02 gCO₂/t·nm),Svendborg,,,12/06/2020,30/06/2021,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,Yes,,2351.39,,7399.71,456.06,3583.43,2702.97,657.26,,,,2509.4,78.47,2.69,,,,,246.95,8.47,,,,,,2509.4,,,,,,,,,,,,,,,,
9726475,TORM TROILUS,Oil tanker,2019.0,EEDI (4.07 gCO₂/t·nm),Singapore,Singapore,,29/04/2020,30/06/2021,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,2367.06,,7415.63,267.42,3205.75,3261.11,401.53,,,,2738.8,76.96,2.89,,,,,241.12,9.07,,,,,,2738.8,,,,,,,,,,,,,,,,
9726487,TORM TIMOTHY,Oil tanker,2019.0,,Singapore,Singapore,,08/05/2020,30/06/2021,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,1103.0,,3450.92,0.0,1473.0,1627.24,210.95,,,,1352.7,76.17,2.4,,,,,238.3,7.52,,,,,,1352.7,,,,,,,,,,,,,,,,
9726566,TD TOKYO,Bulk carrier,2019.0,EEDI (3.87 gCO₂/t·nm),Monrovia,,,27/04/2020,30/06/2021,,Bureau Veritas Certification France,COFRAC,"Le Triangle de l'Arche
9, cours du Triangle",92937 PARIS LA DEFENSE,4-0076,France,Yes,,,,2439.81,,7665.39,325.19,3489.41,3558.98,291.82,,,,3413.34,93.76,2.21,,,,,294.58,6.93,,,,,,3413.34,,,,,,,,,,,,,,,,
9726580,FRONT OCELOT,Oil tanker,2019.0,EEDI (3.13 gCO₂/t·nm),Majuro,Majuro,IC,15/04/2020,30/06/2021,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,Yes,,8419.4,,26766.71,397.54,8983.75,13923.71,3461.7,,,,7602.9,129.95,2.17,,,,,413.12,6.91,,,,,,7602.9,,,,,,,,,,,,,,,,
9726592,FRONT LYNX,Oil tanker,2019.0,EEDI (3.13 gCO₂/t·nm),Majuro,Majuro,IC,14/04/2020,30/06/2021,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,Yes,Yes,,4722.8,,15005.99,0.0,5024.44,8641.81,1339.74,,,,4357.9,115.4,2.07,,,,,366.66,6.57,,,,,,4357.9,,,,,,,,,,,,,,,,
9726607,HAFNIA HENRIETTE,Oil tanker,2019.0,EEDI (4.41 gCO₂/t·nm),Valletta,,,23/04/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,Yes,,1365.16,,4298.71,0.0,2052.55,1941.88,304.28,,,,1700.7,81.28,3.37,,,,,255.94,10.6,,,,,,1700.7,,,,,,,,,,,,,,,,
9726619,HAFNIA LENE,Chemical tanker,2019.0,EEDI (4.49 gCO₂/t·nm),Valletta,,,23/04/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,Yes,,1199.15,,3759.54,182.74,2024.34,1392.96,159.5,,,,1710.3,90.03,3.23,,,,,282.25,10.12,,,,,,1710.3,,,,,,,,,,,,,,,,
9726621,HAFNIA LISE,Oil tanker,2019.0,EEDI (4.42 gCO₂/t·nm),Valletta,,IA,23/04/2020,30/06/2021,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,Yes,Yes,,1185.0,,3726.77,299.65,1612.32,1538.13,276.68,,,,1370.9,84.16,2.54,,,,,264.67,7.99,,,,,0.0,1370.9,0.0,,,,,,,,,,,,,,,
9726671,MAERSK STADELHORN,Container ship,2019.0,EEDI (9.16 gCO₂/t·nm),SINGAPORE,,,30/03/2020,30/06/2021,001,"Nippon Kaiji Kyokai, Innovation and Sustainability Department",Deutsche Akkredierungsstelle GmbH,"Nippon Kaiji Kyokai, 4-7, Kioi-Cho, Chiyoda-Ku, Tokyo 102-8567, Japan",Tokyo,VS-21325-01,Japan,Yes,,,,4403.13,,13711.35,2493.13,8717.21,1795.03,705.97,,,,1214.3,228.13,3.05,,,,,710.4,9.5,,,,,,1214.3,,,,,,,,,,,,,,,,
9726695,GLOBAL HIGHWAY,Vehicle carrier,2019.0,EEDI (14.4 gCO₂/t·nm),PANAMA,,,29/04/2020,30/06/2021,001,"Nippon Kaiji Kyokai, Innovation and Sustainability Department",Deutsche Akkredierungsstelle GmbH,"Nippon Kaiji Kyokai, 4-7, Kioi-Cho, Chiyoda-Ku, Tokyo 102-8567, Japan",Tokyo,VS-21325-01,Japan,,,Yes,,5740.8,,17970.17,9692.15,2361.75,5238.11,678.15,,,,3914.5,95.84,12.83,,,,,300.01,40.17,,,,,,3914.5,,,,,,,,,,,,,,,,
9726700,HORIZON HIGHWAY,Vehicle carrier,2019.0,EEDI (14.4 gCO₂/t·nm),PANAMA,,,30/04/2020,30/06/2021,001,"Nippon Kaiji Kyokai, Innovation and Sustainability Department",Deutsche Akkredierungsstelle GmbH,"Nippon Kaiji Kyokai, 4-7, Kioi-Cho, Chiyoda-Ku, Tokyo 102-8567, Japan",Tokyo,VS-21325-01,Japan,,,Yes,,6515.5,,20436.65,2477.42,10519.68,6654.82,784.73,,,,4140.5,104.22,14.77,,,,,326.91,46.34,,,,,,4140.5,,,,,,,,,,,,,,,,
9726750,MTM SAVANNAH,Chemical tanker,2019.0,EEDI (6.81 gCO₂/t·nm),Singapore,,,30/04/2020,30/06/2021,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,Yes,,1047.79,746.29,3314.53,996.75,1207.9,950.34,159.54,,,2347.87,1643.3,72.63,4.83,,,,,229.76,15.27,,,,,,1643.3,,,61.39,3.44,,,,,193.15,10.82,,,,,,
9726762,ROYAL HOPE,Bulk carrier,2019.0,EIV (3.62 gCO₂/t·nm),Panama,,,18/03/2020,30/06/2021,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,Yes,,1785.4,,5578.49,0.0,2175.95,3297.4,105.14,,,,2431.31,100.73,2.23,,,,,314.74,6.97,,,,,,2431.31,,,,,,,,,,,,,,,,
