,imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
1013,9169524,AURORA,Passenger ship,2018.0,EIV (14.29 gCO₂/t·nm),Hamilton,Southampton,,01/08/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,33554.4,,104981.46,51677.5,17232.9,13856.7,8706.6,,,,5788.6,384.23,,,,210.09,,1202.15,,,,657.32,,,5788.6,,,,,,,,,,,,,,,,
1014,9169550,OCEANA,Passenger ship,2018.0,EIV (7.5 gCO₂/t·nm),Hamilton,Southampton,,01/08/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,28264.3,,88415.75,32333.4,23622.5,20335.7,12123.9,,,,5955.4,327.87,,,,165.47,,1025.62,,,,517.63,,,5955.4,,,,,,,,,,,,,,,,
1018,9170183,AVEMAR DOS,Ro-pax ship,2018.0,EIV (74.4 gCO₂/t·nm),Santa Cruz de Tenerife,,,16/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,Yes,,,10374.22,,33259.75,32368.72,0.0,0.0,891.03,18505.74,14754.01,,2513.0,145.27,,,,1499.34,1499.42,465.73,,,,4806.89,4807.14,,2513.0,,,,,,,,,,,,,,,,
1022,9170705,BEN-MY-CHREE,Ro-pax ship,2018.0,EIV (63.7 gCO₂/t·nm),Douglas,Douglas,,29/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,7456.0,,23279.99,0.0,11640.0,11640.0,2392.0,23279.99,23279.99,,4548.15,93.87,,,,0.37,0.14,293.11,,,,1.15,0.42,,4548.15,,,,,,,,,,,,,,,,
1023,9170999,MN PELICAN,Ro-ro ship,2018.0,EIV (58 gCO₂/t·nm),MARSEILLE,,IA,30/06/2019,30/06/2020,,VERIFAVIA SARL,COFRAC,33 Avenue du Maine,Paris,4-0596,France,Yes,,,,10474.0,,32975.3,0.0,32979.0,0.0,579.0,,,,6585.0,104.22,,63.79,,,,328.1,,200.83,,,,,6585.0,,,,,,,,,,,,,,,,
1024,9171163,GOTLANDIA,Ro-pax ship,2018.0,EIV (18 gCO₂/t·nm),Visby,Visby,,05/09/2019,30/06/2020,10296,MRVControl AB,SWEDAC,Husängsvägen 4,47492 Ellös,10296,Sweden,,Yes,,,2424.0,,7771.34,7320.0,0.0,0.0,460.0,7309.68,0.0,,754.0,142.59,,,,304.81,,457.14,,,,977.23,,,754.0,,,,,,,,,,,,,,,,
1043,9172777,COSTA NEORIVIERA,Passenger ship,2018.0,EIV (24.39 gCO₂/t·nm),Genova,,,18/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,12289.13,,38484.78,28217.51,1723.91,1018.76,7528.55,,,,5707.9,234.21,,,,171.38,,733.47,,,,536.71,,,5707.9,,,,,,,,,,,,,,,,
1057,9175494,EUROCARGO SALERNO,Ro-ro ship,2018.0,EIV (19.8 gCO₂/t·nm),Valletta,,,24/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,11576.7,11576.7,36112.91,33262.0,0.0,0.0,1253.0,,,36112.91,5098.0,150.09,57.97,,,,,468.2,180.84,,,,,,5098.0,,,150.09,57.97,,,,,468.2,180.84,,,,,,
1063,9176060,FJORD CAT,Ro-pax ship,2018.0,EIV (9 gCO₂/t·nm),,,,30/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,Yes,,,,5695.0,,18258.17,17883.0,0.0,0.0,375.0,17879.86,3.21,,1531.0,137.03,,,,368.08,1015.23,439.33,,,,1180.07,3254.82,,1531.0,,,,,,,,,,,,,,,,
1064,9176072,MANANNAN,Ro-pax ship,2018.0,EIV (599.76 gCO₂/t·nm),Douglas,Douglas,,29/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,7886.0,,25282.52,28274.0,14137.0,14137.0,0.0,25282.52,25282.52,,1914.0,136.5,,,,0.46,1.25,437.6,,,,1.47,4.01,,1914.0,,,,,,,,,,,,,,,,
