,imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_direct_emissions,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
1517,9216585,FORTUNY,Ro-pax ship,2018.0,0 gCO₂/t·nm,,,,24/05/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,17710.24,,55253.97,51933.27,0.0,0.0,3320.04,55253.97,55253.97,,4797.0,210.18,,,,0.73,0.52,655.72,,,,2.26,1.63,,4797.0,,,,,,,,,,,,,,,,
1526,9217125,SOROLLA,Ro-pax ship,2018.0,0 gCO₂/t·nm,,,,24/05/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,14654.91,,45745.79,42402.8,0.0,0.0,3343.0,45745.79,45745.79,,5029.0,196.55,,,,0.73,2.25,613.54,,,,2.27,7.03,,5029.0,,,,,,,,,,,,,,,,
1529,9217230,NILS HOLGERSSON,Ro-pax ship,2018.0,EIV (74 gCO₂/t·nm),Luebeck,,IB,09/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,,,51075.99,45105.83,0.0,0.0,5970.16,32688.63,18387.37,,,,,,,,,598.28,,,,1930.19,77.13,0.0,,,,,,,,,,,,,,,,,
1530,9217242,PETER PAN,Ro-pax ship,2018.0,EIV (54 gCO₂/t·nm),Trelleborg,,IB,13/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,12715.65,,39721.25,37218.0,0.0,0.0,2503.25,24627.13,15094.12,,3731.58,231.87,,,,623.14,30.13,724.32,,,,1946.55,94.12,0.0,3731.58,0.0,,,,,,,,,,,,,,,
1535,9218014,GRAN CANARIA CAR,Ro-ro ship,2018.0,EIV (23.05 gCO₂/t·nm),Madeira,,,26/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,4652.44,,14511.81,7455.75,3318.45,3219.43,517.98,,,,5856.44,72.97,106.58,,,,,227.62,332.43,,,,,,5856.44,,,,,,,,,,,,,,,,
1551,9220330,CRUISE BONARIA,Ro-pax ship,2018.0,EIV (21.49 gCO₂/t·nm),Palermo,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,21387.12,,67487.42,64876.56,1264.73,1349.33,2863.21,53989.92,13497.5,,4365.8,228.93,,,,303.2,19.74,722.38,,,,956.75,62.28,,4365.8,,,,,,,,,,,,,,,,
1552,9220342,MYKONOS PALACE,Ro-pax ship,2018.0,EIV (20.09 gCO₂/t·nm),,,,24/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,23353.09,,73292.73,70463.7,0.0,0.0,2829.01,3466.27,69826.45,,3671.34,401.45,,,,28.31,284.0,1259.93,,,,88.86,891.33,,3671.34,,,,,,,,,,,,,,,,
1558,9220639,FLEET LEADER,Ro-ro ship,2018.0,Not Applicable,Monrovia,,IA,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,2111.99,,6716.86,4508.89,705.07,1062.8,440.1,,,,3287.91,61.91,47.02,,,,,196.91,149.53,,,,,0.0,3287.91,0.0,,,,,,,,,,,,,,,
1559,9220641,GLOBAL CARRIER,Ro-ro ship,2018.0,Not Applicable,Monrovia,,IA,30/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,1359.0,,4299.75,1586.88,876.15,1585.05,251.67,,,,2131.07,62.01,42.35,,,,,196.2,133.99,,,,,0.0,2131.07,0.0,,,,,,,,,,,,,,,
1573,9221281,OOSTERDAM,Passenger ship,2018.0,Not Applicable,Rotterdam,,,04/07/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,Yes,,13798.83,,43304.88,25803.2,8296.62,5385.56,3819.51,,,,4611.56,316.12,,,,163.89,,992.07,,,,514.34,,,4611.56,,,,,,,,,,,,,,,,
1574,9221310,MOBY TOMMY,Ro-pax ship,2018.0,EIV (14.51 gCO₂/t·nm),Napoli,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,13953.31,,43591.24,38719.34,0.0,0.0,4871.9,35744.81,7846.44,,3588.82,224.34,,,,327.83,32.12,700.85,,,,1024.16,100.35,,3588.82,,,,,,,,,,,,,,,,
1575,9221346,VOLCAN DE TENO,Ro-pax ship,2018.0,EIV (67.69 gCO₂/t·nm),Santa Cruz de Tenerife,Las Palmas de Gran Canaria,,29/04/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,Yes,,,7850.67,,25169.25,23799.41,0.0,0.0,1369.85,25169.25,25169.25,,2165.89,133.95,,,,1462.06,3513.17,429.43,,,,4687.38,11263.23,,2165.89,,,,,,,,,,,,,,,,
1576,9221358,NORMANDIE EXPRESS,Ro-pax ship,2018.0,EIV (11.26 gCO₂/t·nm),Caen,,,03/07/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,3435.0,,11012.61,11013.0,0.0,0.0,0.0,11012.61,,,1109.0,140.2,,,,264.23,,449.49,,,,847.11,,,1109.0,,,,,,,,,,,,,,,,
1578,9221554,AIDAVITA,Passenger ship,2018.0,EIV (25.67 gCO₂/t·nm),Genova,,,26/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,8566.47,,26844.43,18957.44,1836.31,1729.96,4323.41,,,,5319.98,191.74,,,,170.32,,600.84,,,,533.74,,,5319.98,,,,,,,,,,,,,,,,
1579,9221566,AIDAAURA,Passenger ship,2018.0,EIV (25.67 gCO₂/t·nm),Genova,,,20/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,8458.84,,26878.35,17949.18,3575.58,1709.26,3645.37,,,,5146.88,180.78,,,,196.81,,574.44,,,,625.37,,,5146.88,,,,,,,,,,,,,,,,
1599,9222522,BITHIA,Ro-pax ship,2018.0,EIV (12.84 gCO₂/t·nm),Cagliari,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,16367.06,,51122.21,44794.08,0.0,0.0,6328.13,41408.96,9713.25,,3814.15,235.38,,,,373.78,43.88,735.2,,,,1167.5,137.07,,3814.15,,,,,,,,,,,,,,,,
1600,9222534,JANAS,Ro-pax ship,2018.0,EIV (12.84 gCO₂/t·nm),Cagliari,,,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,16800.75,,52487.31,46180.58,0.0,0.0,6306.72,40940.09,11547.22,,4323.6,214.35,,,,432.0,50.4,669.66,,,,1349.62,157.46,,4323.6,,,,,,,,,,,,,,,,
1607,9223150,THEOLOGOS P.,Ro-pax ship,2018.0,Not Applicable,PIRAEUS,,,16/04/2019,30/06/2020,,ICS Verification Services Single Member P.C.,Hellenic Accreditation System (ESYD),"55 Filonos Str.
185 35 Piraeus, Greece",Piraeus,1101,Greece,Yes,,,,4664.17,,14542.5,14263.6,0.0,0.0,278.92,14542.5,14542.5,,2171.08,116.38,,,,837.76,1730.66,362.86,,,,2612.06,5396.06,,2171.08,,,,,,,,,,,,,,,,
1614,9223784,VISBY,Ro-pax ship,2018.0,EIV (24 gCO₂/t·nm),Visby,Visby,IA,05/09/2019,30/06/2020,10296,MRVControl AB,SWEDAC,Husängsvägen 4,47492 Ellös,10296,Sweden,,,Yes,,23160.0,,72977.16,67300.0,0.0,0.0,5700.0,25680.65,41593.2,,4152.0,239.26,,,,137.67,242.2,753.9,,,,433.79,763.18,,4152.0,,,,,,,,,,,,,,,,
1615,9223796,GOTLAND,Ro-pax ship,2018.0,EIV (24 gCO₂/t·nm),Visby,Visby,IA,05/09/2019,30/06/2020,10296,MRVControl AB,SWEDAC,Husängsvägen 4,47492 Ellös,10296,Sweden,,,Yes,,21550.0,,67904.05,62300.0,0.0,0.0,5670.0,25050.45,37181.8,,3791.0,244.61,,,,146.41,253.76,770.76,,,,461.33,799.61,,3791.0,,,,,,,,,,,,,,,,
1655,9226360,ELIANA MARINO,Ro-ro ship,2018.0,EIV (6.55 gCO₂/t·nm),Napoli,,IA,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,10178.25,10178.25,31760.37,29736.23,0.0,0.0,2024.14,,,31760.37,4917.79,122.94,42.05,,,,,383.64,131.21,,,,,,4917.79,,,122.94,42.05,,,,,383.64,131.21,,,,,,
1663,9226906,ARCADIA,Passenger ship,2018.0,EIV (14.83 gCO₂/t·nm),Hamilton,Southampton,,01/08/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,26243.65,,81976.88,37490.6,20354.8,18517.5,5613.8,,,,4476.5,373.82,,,,187.7,,1167.69,,,,586.3,,,4476.5,,,,,,,,,,,,,,,,
1669,9227259,STENA FORERUNNER,Ro-ro ship,2018.0,,Hoek van Holland,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,7723.0,7057.0,24178.75,22059.95,0.0,0.0,2118.81,,,22059.95,4414.0,147.77,29.53,,,,,462.64,92.46,,,,,,4414.0,,,135.03,26.99,,,,,422.09,84.36,,,,,,
1679,9227417,SUPERFAST XI,Ro-pax ship,2018.0,EIV (24.03 gCO₂/t·nm),Piraeus,,,24/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,44833.82,,140371.84,135729.99,0.0,0.0,4641.78,17987.05,127026.56,,6224.2,300.75,,,,73.19,85.42,941.62,,,,229.98,267.49,,6224.2,,,,,,,,,,,,,,,,
1680,9227429,CRUISE AUSONIA,Ro-pax ship,2018.0,EIV (30.01 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,8506.9,,26844.54,25070.34,0.0,0.0,1774.2,18791.18,8053.36,,1774.2,258.65,,,,144.53,78.25,816.22,,,,456.09,246.93,,1774.2,,,,,,,,,,,,,,,,
1682,9227508,NAVIGATOR OF THE SEAS,Passenger ship,2018.0,Not Applicable,Nassau,,,16/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,26425.72,,83388.73,68345.51,7354.12,6446.45,1242.65,,,,4805.67,414.2,,,,120.94,,1307.04,,,,381.63,,,4805.67,,,,,,,,,,,,,,,,
1683,9227510,MARINER OF THE SEAS,Passenger ship,2018.0,Not Applicable,Nassau,,,02/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,1562.8,,4870.1,785.56,4070.76,0.0,13.79,,,,295.45,344.25,,,,1053.27,,1072.78,,,,3282.26,,,295.45,,,,,,,,,,,,,,,,
1689,9227900,GRAND BENELUX,Ro-ro ship,2018.0,EIV (8.55 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,7495.01,,23517.33,17280.79,3253.52,1437.3,1545.72,,,,5315.1,87.08,29.84,,,,,273.24,93.64,,,,,,5315.1,,,,,,,,,,,,,,,,
1690,9227912,GRANDE ITALIA,Ro-ro ship,2018.0,EIV (8.55 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,6782.32,,21207.64,13667.95,2717.34,3229.32,1593.03,,,,4623.42,90.38,32.56,,,,,282.61,101.81,,,,,,4623.42,,,,,,,,,,,,,,,,
1691,9227924,GRANDE SPAGNA,Ro-ro ship,2018.0,EIV (8.55 gCO₂/t·nm),Palermo,,,14/09/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,6317.16,,19774.18,14821.02,2585.86,1372.2,995.1,,,,4565.58,84.85,29.99,,,,,265.59,93.87,,,,,,4565.58,,,,,,,,,,,,,,,,
1698,9228186,SAPPHIRE PRINCESS,Passenger ship,2018.0,Not Applicable,London,,,16/07/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,26056.88,,82325.34,73319.05,1641.97,1580.37,5783.94,,,,3950.09,443.56,,,,160.63,,1401.39,,,,507.51,,,3950.09,,,,,,,,,,,,,,,,
1705,9228344,SERENADE OF THE SEAS,Passenger ship,2018.0,Not Applicable,Nassau,,,25/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,2917.3,,9091.11,5821.46,1336.28,1623.2,310.18,,,,3287.74,85.75,,,,38.49,,267.21,,,,119.94,,,3287.74,,,,,,,,,,,,,,,,
1706,9228356,JEWEL OF THE SEAS,Passenger ship,2018.0,Not Applicable,Nassau,,,02/05/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,19169.68,,60883.05,48082.77,5500.47,6196.57,1103.24,,,,3598.97,396.53,,,,166.91,,1259.39,,,,530.12,,,3598.97,,,,,,,,,,,,,,,,
1741,9230476,DANIELLE CASANOVA,Ro-pax ship,2018.0,EIV (3.18 gCO₂/t·nm),,,,30/04/2019,30/06/2020,,VERIFAVIA SARL,COFRAC,33 Avenue du Maine,Paris,4-0596,France,,,Yes,,25099.39,,78356.46,6310.37,32122.56,33863.65,5955.97,59778.19,12528.48,,4963.84,252.95,,,,249.07,69.5,789.68,,,,775.91,216.51,,4963.84,,,,,,,,,,,,,,,,
1773,9231951,FINNMARKEN,Ro-pax ship,2018.0,Not Applicable,Tromso,,IC,25/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,7162.51,,22963.01,19977.55,0.0,0.0,2985.48,20437.1,2525.91,,6346.99,82.94,,,,170.17,316.88,265.91,,,,545.58,1015.9,0.0,6346.99,0.0,,,,,,,,,,,,,,,
1782,9232527,COTE DES DUNES,Ro-pax ship,2018.0,EIV (21.5 gCO₂/t·nm),Le Havre,,,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,Yes,,14305.21,,44554.23,41169.97,0.0,0.0,3384.28,44554.23,44554.23,,5101.97,194.36,115.02,,,821.97,,605.36,358.22,,,2560.07,,,5101.97,,,,,,,,,,,,,,,,
1785,9232797,ORANJEBORG,Ro-ro ship,2018.0,EIV (27.93 gCO₂/t·nm),Delfzijl,Delfzijl,IA Supper,28/06/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,5407.0,,16992.56,3320.44,8717.24,4308.65,642.4,,,,5460.0,100.69,12.62,,,,,316.44,39.67,,,,,,5460.0,,,,,,,,,,,,,,,,
1794,9233258,TROLLFJORD,Ro-pax ship,2018.0,Not Applicable,Tromso,,IC,25/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,7669.16,,24587.33,21366.96,0.0,0.0,3220.42,21882.75,2704.58,,6725.52,90.98,,,,185.34,349.92,291.69,,,,594.2,1121.83,0.0,6725.52,0.0,,,,,,,,,,,,,,,
1817,9234082,FINNMERCHANT,Ro-ro ship,2018.0,EIV (28.84 gCO₂/t·nm),Helsinki,Helsinki,IA,03/05/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,Yes,,,11847.0,,37032.46,34337.0,0.0,0.0,2696.0,,,,5764.0,122.01,42.69,,,,,381.4,133.44,,,,,,5764.0,,,,,,,,,,,,,,,,
1818,9234094,MASSIMO MURA,Ro-ro ship,2018.0,EIV (10.96 gCO₂/t·nm),Napoli,,IA,30/04/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,Yes,,,,8169.3,8169.3,25507.57,21209.37,1294.26,1291.51,1712.41,,,25507.57,4885.6,109.57,40.21,,,,,342.12,125.55,,,,,,4885.6,,,,40.21,,,,,,125.55,,,,,,
1847,9235517,STENA SCANDINAVICA,Ro-pax ship,2018.0,,Gothenburg,,IA,26/11/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,14051.0,,43951.65,39912.94,0.0,0.0,4038.71,29114.22,14837.43,,4781.0,181.14,,,,197.67,21.33,566.61,,,,618.56,66.68,,4781.0,,,,,,,,,,,,,,,,
1848,9235529,STENA ADVENTURER,Ro-pax ship,2018.0,,London,,IA,30/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,20673.0,,64555.49,57819.39,0.0,0.0,6736.1,38901.96,25653.53,,5252.0,259.01,,,,377.11,36.51,808.82,,,,1178.9,113.81,,5252.0,,,,,,,,,,,,,,,,
1877,9236949,ST.CLARE,Ro-pax ship,2018.0,,London,Portsmouth,,28/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,Yes,,,,2133.96,,6841.48,6841.48,0.0,0.0,0.0,6841.48,6841.48,,4631.33,48.76,,,,5.31,0.31,156.32,,,,17.03,1.0,,4631.33,,,,,,,,,,,,,,,,
1887,9237242,CRACOVIA,Ro-pax ship,2018.0,EIV (83.9 gCO₂/t·nm),Nassau,,,07/11/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,Yes,,,8552.84,,26981.23,23178.77,0.0,0.0,3802.49,1295.11,25686.12,,4394.01,143.66,,,,53.56,72.13,453.21,,,,168.95,227.54,,4394.01,,,,,,,,,,,,,,,,
1888,9237345,COSTA MEDITERRANEA,Passenger ship,2018.0,EIV (23.81 gCO₂/t·nm),Genova,,,18/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,15186.25,,48044.04,38746.16,913.38,1345.71,7041.59,,,,5877.5,278.26,,,,122.38,,880.31,,,,387.18,,,5877.5,,,,,,,,,,,,,,,,
1892,9237589,ROMANTIKA,Ro-pax ship,2018.0,EIV (3.1 gCO₂/t·nm),Riga,Riga,IA Supper,29/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,,Yes,,15075.21,,47502.31,44232.92,0.0,0.0,3269.34,40663.35,3569.6,,6391.0,153.18,,,,119.29,16.63,482.68,,,,375.87,52.4,,6391.0,,,,,,,,,,,,,,,,
1893,9237644,MILENIUM DOS,Ro-pax ship,2018.0,0 gCO₂/t·nm,,,,24/05/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,,,7482.81,,23989.89,23342.5,0.0,0.0,647.4,23989.89,23989.89,,3371.0,137.49,,,,0.29,0.85,440.8,,,,0.92,2.74,,3371.0,,,,,,,,,,,,,,,,
1902,9238337,MONT ST. MICHEL,Ro-pax ship,2018.0,EIV (28.65 gCO₂/t·nm),Caen,,IC,03/07/2019,30/06/2020,,Bureau Veritas Certification France,COFRAC,Le Guillaumet,92046 PARIS LA DEFENSE CEDEX,4-0076,France,Yes,,,,18099.0,,56464.06,52598.0,0.0,0.0,3862.0,8853.82,47610.25,,6108.0,200.19,,,,62.75,89.14,624.54,,,,195.76,278.1,,6108.0,,,,,,,,,,,,,,,,
1921,9239795,COSTA MAGICA,Passenger ship,2018.0,EIV (23.22 gCO₂/t·nm),Genova,,,18/06/2019,30/06/2020,,RINA Services Spa,ACCREDIA,Via Corsica 12,Genova,002O,Italy,,,,,19103.07,,59905.95,31532.43,8953.76,7308.48,12117.07,,,,6950.7,320.28,,,,113.64,,1004.38,,,,356.38,,,6950.7,,,,,,,,,,,,,,,,
1943,9240964,NEPTUNE AEGLI,Ro-ro ship,2018.0,Not Applicable,Valletta,Valletta,,25/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,7436.9,,23375.36,22253.98,0.0,0.0,1121.38,,,,6910.0,96.44,91.02,,,,,303.13,286.09,,,,,,6910.0,,,,,,,,,,,,,,,,
1944,9240976,NEPTUNE DYNAMIS,Ro-ro ship,2018.0,Not Applicable,Valletta,Valletta,,26/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,5548.1,,17322.59,13507.18,1467.48,1423.63,924.3,,,,6220.0,90.09,66.88,,,,,281.3,208.81,,,,,,6220.0,,,,,,,,,,,,,,,,
1945,9241061,QUEEN MARY 2,Passenger ship,2018.0,EIV (11.88 gCO₂/t·nm),Hamilton,Southampton,,01/08/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,,Yes,,53501.9,,167531.18,31903.0,66262.4,65968.5,3177.9,,,,4935.8,568.89,,,,224.42,,1781.36,,,,702.73,,,4935.8,,,,,,,,,,,,,,,,
1960,9241774,BLUE STAR PAROS,Ro-pax ship,2018.0,EIV (32.67 gCO₂/t·nm),Piraeus,,,24/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,12226.81,,38536.25,36399.26,0.0,0.0,2136.94,19525.35,21147.84,,4386.25,138.17,,,,127.22,274.79,435.48,,,,401.07,866.26,,4386.25,,,,,,,,,,,,,,,,
1961,9241786,BLUE STAR NAXOS,Ro-pax ship,2018.0,EIV (32.67 gCO₂/t·nm),Piraeus,,,24/04/2019,30/06/2020,,VERIFAVIA (UK) LTD,UKAS,20-22 Wenlock Road,London,4599,United Kingdom,,Yes,,,13283.89,,41868.45,38249.31,0.0,0.0,3619.18,23161.23,22326.39,,5303.1,128.54,,,,128.85,243.67,405.14,,,,406.18,768.15,,5303.1,,,,,,,,,,,,,,,,
1972,9242388,UND ATILIM,Ro-ro ship,2018.0,Not Applicable,Istanbul,,,08/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,14087.18,,43882.89,2308.03,21502.13,19623.03,449.73,,,,6752.97,112.65,27.12,,,,,350.92,84.48,,,,,,6752.97,,,,,,,,,,,,,,,,
1973,9242390,UND BIRLIK,Ro-ro ship,2018.0,Not Applicable,Istanbul,,,08/04/2019,30/06/2020,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,Yes,,,,14628.05,,45563.17,2807.65,20375.83,22017.16,362.53,,,,6688.4,114.61,27.28,,,,,356.99,84.96,,,,,,6688.4,,,,,,,,,,,,,,,,
1986,9243227,DUBLIN SWIFT,Ro-pax ship,2018.0,EIV (637.5 gCO₂/t·nm),Limassol,,,26/04/2019,30/06/2020,,Lloyd's Register Quality Assurance Ltd,UKAS,"LRQA Centre
1 Trinity Park
Bickenhill Lane
Birmingham
B37 7ES",BIRMINGHAM,0001,United Kingdom,,Yes,,,5146.2,,16498.72,14002.85,0.0,0.0,2495.87,16498.72,16498.72,,1122.51,177.22,,,,0.91,1.74,568.15,,,,2.92,5.58,,1122.51,,,,,,,,,,,,,,,,
