,country,code,name,latitude,longitude
18523,FI,MHQ,Mariehamn Airport,60.122200012207,19.898199081421
18525,FI,MIK,Mikkeli Airport,61.6866,27.201798999999998
18532,FI,OUL,Oulu Airport,64.930099487305,25.354600906372
18541,FI,POR,Pori Airport,61.461700439453004,21.799999237061
18548,FI,RVN,Rovaniemi Airport,66.564796447754,25.830400466919
18552,FI,SVL,Savonlinna Airport,61.943099975586,28.945100784302
18554,FI,SJY,Seinäjoki Airport,62.692101,22.8323
18556,FI,SOT,Sodankyla Airport,67.3949966431,26.619100570700002
18559,FI,TMP,Tampere-Pirkkala Airport,61.414100646973,23.604400634766
18561,FI,TKU,Turku Airport,60.514099121094,22.262800216675
18563,FI,UTI,Utti Air Base,60.89640045165999,26.938400268555004
18564,FI,VAA,Vaasa Airport,63.050701141357,21.762199401855
18568,FI,VRK,Varkaus Airport,62.171100616455,27.868600845337
18572,FI,YLI,Ylivieska Airfield,64.0547222,24.7252778
31581,FR,XAB,Abbeville,50.143501,1.831891
31282,FR,AGF,Agen-La Garenne Airport,44.17470169067383,0.5905560255050659
31493,FR,AJA,Ajaccio-Napoléon Bonaparte Airport,41.92359924316406,8.8029203414917
31313,FR,LBI,Albi-Le Séquestre Airport,43.91389846801758,2.1130599975585938
31479,FR,ANE,Angers-Loire Airport,47.560299,-0.312222
31300,FR,ANG,Angoulême-Brie-Champniers Airport,45.72919845581055,0.22145600616931915
31517,FR,NCY,Annecy-Haute-Savoie-Mont Blanc Airport,45.930833299999996,6.106388900000001
31510,FR,QNJ,Annemasse Airport,46.1920013428,6.268390178680002
31441,FR,OBS,Aubenas-Ardèche Méridional Airport,44.544203,4.372192
31524,FR,AUR,Aurillac Airport,44.89139938354492,2.4219400882720947
31503,FR,AUF,Auxerre-Branches Airport,47.85020065307617,3.4971098899841313
31546,FR,AVN,Avignon-Caumont Airport,43.90729904174805,4.901830196380615
31486,FR,BIA,Bastia-Poretta Airport,42.55270004272461,9.48373031616211
31285,FR,EGC,Bergerac-Roumanière Airport,44.82529830932617,0.5186110138893127
31304,FR,BIQ,Biarritz-Anglet-Bayonne Airport,43.4683333,-1.5311111000000002
31284,FR,BOD,Bordeaux-Mérignac Airport,44.8283004761,-0.7155560255050001
31506,FR,BOU,Bourges Airport,47.05810165405274,2.3702800273895264
31650,FR,BES,Brest Bretagne Airport,48.4478988647461,-4.418540000915527
21351,FR,BVE,Brive Souillac Airport,45.039722,1.4855559999999999
31545,FR,BZR,Béziers-Vias Airport,43.32350158691406,3.353899955749512
31659,FR,CFR,Caen-Carpiquet Airport,49.173301696777344,-0.44999998807907104
31307,FR,ZAO,Cahors-Lalbenque Airport,44.35139846801758,1.4752800464630127
31259,FR,CQF,Calais-Dunkerque Airport,50.96210098266602,1.954759955406189
31487,FR,CLY,Calvi-Sainte-Catherine Airport,42.52444439999999,8.793055599999999
31530,FR,CEQ,Cannes-Mandelieu Airport,43.542,6.95348
31536,FR,CCF,Carcassonne Airport,43.21599960327149,2.3063199520111084
31315,FR,DCM,Castres-Mazamet Airport,43.55630111694336,2.289180040359497
31504,FR,CMF,Chambéry-Savoie Airport,45.638099670410156,5.880229949951173
31605,FR,CDG,Charles de Gaulle International Airport,49.012798,2.55
31644,FR,XCZ,Charleville-Mézières Airport,49.78390121459961,4.647079944610597
31651,FR,CER,Cherbourg-Maupertus Airport,49.65010070800781,-1.4702800512313845
31593,FR,CET,Cholet Le Pontreau Airport,47.08209991455078,-0.8770639896392822
31583,FR,XCR,Châlons-Vatry Airport,48.7733333333,4.206111111
31525,FR,CHR,"Châteauroux-Déols ""Marcel Dassault"" Airport",46.860278,1.721111
31505,FR,CFE,Clermont-Ferrand Auvergne Airport,45.786701202399996,3.1691699027999998
31287,FR,CNG,Cognac-Châteaubernard (BA 709) Air Base,45.65829849243164,-0.3174999952316284
31403,FR,CMR,Colmar-Houssen Airport,48.109901428222656,7.359010219573975
31601,FR,CSF,Creil Air Base,49.253501892089844,2.5191400051116943
31655,FR,DOL,Deauville-Saint-Gatien Airport,49.3652992249,0.154305994511
31675,FR,DIJ,Dijon-Bourgogne Airport,47.268902000000004,5.09
31652,FR,DNR,Dinard-Pleurtuit-Saint-Malo Airport,48.58769989013672,-2.0799601078033447
31412,FR,DLE,Dole-Tavaux Airport,47.042685999999996,5.4350629999999995
31673,FR,BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,47.59,7.529167
31490,FR,FSC,Figari Sud-Corse Airport,41.5005989074707,9.097780227661133
31654,FR,GFR,Granville Airport,48.88309860229492,-1.564170002937317
31520,FR,GNB,Grenoble-Isère Airport,45.36289978027344,5.329370021820068
31653,FR,LBY,La Baule-Escoublac Airport,47.28939819335938,-2.346390008926392
31657,FR,EDM,La Roche-sur-Yon Airport,46.70190048217773,-1.3786300420761108
31288,FR,LRH,La Rochelle-Île de Ré Airport,46.17919921875,-1.1952799558639526
31658,FR,LDV,Landivisiau Air Base,48.53030014038086,-4.151639938354491
31663,FR,LAI,Lannion-Côte de Granit Airport,48.754397999999995,-3.47166
31594,FR,LVA,Laval-Entrammes Airport,48.03139877319336,-0.7429860234260559
31541,FR,CTT,Le Castellet Airport,43.25249862670898,5.785190105438232
31580,FR,LEH,Le Havre Octeville Airport,49.53390121459961,0.08805599808692932
31661,FR,LME,Le Mans-Arnage Airport,47.94860076904297,0.201666995882988
31442,FR,LPY,Le Puy-Loudes Airport,45.0806999206543,3.7628901004791264
31276,FR,LTQ,Le Touquet-Côte d'Opale Airport,50.51739883422852,1.6205899715423584
31639,FR,LIL,Lille-Lesquin Airport,50.563332,3.0868860000000002
31292,FR,LIG,Limoges Airport,45.86280059814453,1.1794400215148926
31656,FR,LRT,Lorient South Brittany (Bretagne Sud) Airport,47.76060104370117,-3.440000057220459
31513,FR,LYS,Lyon Saint-Exupéry Airport,45.725556,5.081111
31526,FR,LYN,Lyon-Bron Airport,45.72719955444336,4.944270133972168
31537,FR,MRS,Marseille Provence Airport,43.439271921999996,5.22142410278
31632,FR,XME,Maubeuge-Élesmes Airport,50.31050109863281,4.0331201553344735
31552,FR,MEN,Mende-Brenoux Airfield,44.502102,3.5328199999999996
