wikidataUrl,item,wikipediaUrl,wikipediaLang,imo
183,http://www.wikidata.org/entity/Q340233,https://de.wikipedia.org/wiki/Achille_Lauro_(Schiff),de,5390008
184,http://www.wikidata.org/entity/Q340233,https://en.wikipedia.org/wiki/MS_Achille_Lauro,en,5390008
185,http://www.wikidata.org/entity/Q340233,https://es.wikipedia.org/wiki/Achille_Lauro_(1965),es,5390008
186,http://www.wikidata.org/entity/Q340233,https://et.wikipedia.org/wiki/Achille_Lauro_(laev),et,5390008
187,http://www.wikidata.org/entity/Q340233,https://fa.wikipedia.org/wiki/%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3_%D8%A2%D8%B4%DB%8C%D9%84_%D9%84%D9%88%D8%B1%D9%88,fa,5390008
188,http://www.wikidata.org/entity/Q340233,https://fi.wikipedia.org/wiki/M/S_Achille_Lauro,fi,5390008
189,http://www.wikidata.org/entity/Q340233,https://fr.wikipedia.org/wiki/Achille_Lauro,fr,5390008
190,http://www.wikidata.org/entity/Q340233,https://he.wikipedia.org/wiki/%D7%90%D7%A7%D7%99%D7%9C%D7%94_%D7%9C%D7%90%D7%95%D7%A8%D7%95,he,5390008
191,http://www.wikidata.org/entity/Q340233,https://it.wikipedia.org/wiki/Achille_Lauro_(nave),it,5390008
192,http://www.wikidata.org/entity/Q340233,"https://nl.wikipedia.org/wiki/Willem_Ruys_(schip,_1947)",nl,5390008
193,http://www.wikidata.org/entity/Q340233,https://pl.wikipedia.org/wiki/MS_Achille_Lauro,pl,5390008
194,http://www.wikidata.org/entity/Q340233,https://pt.wikipedia.org/wiki/MS_Achille_Lauro,pt,5390008
195,http://www.wikidata.org/entity/Q340233,https://ru.wikipedia.org/wiki/Achille_Lauro,ru,5390008
196,http://www.wikidata.org/entity/Q340233,https://simple.wikipedia.org/wiki/MS_Achille_Lauro,en-simple,5390008
197,http://www.wikidata.org/entity/Q340233,https://sk.wikipedia.org/wiki/Achille_Lauro_(lo%C4%8F),sk,5390008
198,http://www.wikidata.org/entity/Q340233,https://sl.wikipedia.org/wiki/Achille_Lauro,sl,5390008
199,http://www.wikidata.org/entity/Q340233,https://ta.wikipedia.org/wiki/%E0%AE%86%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%B2%E0%AF%87_%E0%AE%B2%E0%AF%8B%E0%AE%B0%E0%AF%8B,ta,5390008
200,http://www.wikidata.org/entity/Q340233,https://tr.wikipedia.org/wiki/Achille_Lauro,tr,5390008
201,http://www.wikidata.org/entity/Q340233,https://zh.wikipedia.org/wiki/%E9%98%BF%E5%9F%BA%E8%90%8A%C2%B7%E5%8B%9E%E5%80%AB%E8%99%9F,zh,5390008
202,http://www.wikidata.org/entity/Q340233,https://ar.wikipedia.org/wiki/%D8%A3%D9%83%D9%8A%D9%84%D9%8A_%D9%84%D8%A7%D9%88%D8%B1%D9%88,ar,5390008
