imo,name,ship_type,reporting_period,technical_efficiency,port_of_registry,home_port,ice_class,doc_issue_date,doc_expiry_date,verifier_number,verifier_name,verifier_nab,verifier_address,verifier_city,verifier_accreditation_number,verifier_country,monitoring_method_a,monitoring_method_b,monitoring_method_c,monitoring_method_d,annual_monitoring_total_fuel_consumption,annual_monitoring_fuel_consumption_assigned_to_on_laden,annual_monitoring_total_co2_emissions,annual_monitoring_co2_emissions_from_all_voyages_between_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_which_departed_from_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_from_all_voyages_to_ports_under_a_ms_juridiction,annual_monitoring_co2_emissions_which_occured_within_ports_under_a_ms_jurisdiction_at_berth,annual_monitoring_co2_emissions_assigned_to_passenger_transport,annual_monitoring_co2_emissions_assigned_to_freight_transport,annual_monitoring_co2_emissions_assigned_to_on_laden,annual_monitoring_total_time_spent_at_sea,annual_average_fuel_consumption_per_distance,annual_average_fuel_consumption_per_transport_work_mass,annual_average_fuel_consumption_per_transport_work_volume,annual_average_fuel_consumption_per_transport_work_dwt,annual_average_fuel_consumption_per_transport_work_pax,annual_average_fuel_consumption_per_transport_work_freight,annual_average_co2_emissions_per_distance,annual_average_co2_emissions_per_transport_work_mass,annual_average_co2_emissions_per_transport_work_volume,annual_average_co2_emissions_per_transport_work_dwt,annual_average_co2_emissions_per_transport_work_pax,annual_average_co2_emissions_per_transport_work_freight,voluntary_reporting_distance_through_ice,voluntary_reporting_total_time_spent_at_sea,voluntary_reporting_total_time_spent_at_sea_through_ice,voluntary_reporting_average_fuel_consumption_per_distance_on_laden_voyages,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_fuel_consumption_per_transport_work_on_laden_voyages_freight,voluntary_reporting_average_co2_emissions_per_distance_on_laden_voyages,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_mass,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_volume,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_dwt,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_pax,voluntary_reporting_average_co2_emissions_per_transport_work_on_laden_voyages_freight,voluntary_reporting_additional_comments,voluntary_reporting_average_density_of_the_cargo_transported
9596703,WOOKIE,Bulk carrier,2020.0,EIV (3.97 gCO₂/t·nm),Majuro,,,19/05/2021,30/06/2022,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,1015.72,,3196.11,0.0,1294.1,1748.03,153.99,,,,773.8,132.65,3.5,,,,,417.41,11.01,,,,,,773.8,,,,,,,,,,,,,,,
9596973,RED,Oil tanker,2020.0,EEDI (3.41 gCO₂/t·nm),Majuro,,,05/04/2021,30/06/2022,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,,Yes,,6293.2,5116.6,19961.79,2700.67,8788.53,6490.31,1982.27,,,16225.34,3543.8,182.19,1.76,,,,,577.9,5.57,,,,,,3543.8,,190.17,1.43,,,,,603.04,4.53,,,,,,
9596985,FRIO,Oil tanker,2020.0,EIV (3.48 gCO₂/t·nm),Majuro,,,10/03/2021,30/06/2022,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,,Yes,,5090.1,3191.7,16148.95,1067.86,6002.21,7976.36,1102.53,,,10146.75,3538.7,169.15,2.21,,,,,536.65,7.0,,,,,,3538.7,,179.83,1.38,,,,,571.71,4.4,,,,,,
9596997,HOVDEN SPIRIT,Oil tanker,2020.0,EIV (4.16 gCO₂/t·nm),Majuro,,,05/05/2021,30/06/2022,1083,AMERICAN BUREAU OF SHIPPING HELLENIC SINGLE MEMBER LIMITED LIABILITY COMPANY (ABS HELLENIC S.M. LTD),Hellenic Accreditation System (ESYD),1 Sachtouri & 1 Navarinou Street,Kallithea,1083,Greece,,,Yes,,3986.6,3182.4,12673.81,2749.2,4310.39,4134.35,1479.87,,,10099.93,2010.5,172.84,2.66,,,,,549.49,8.45,,,,,,2010.5,,175.03,2.12,,,,,555.5,6.73,,,,,,
9597006,FLEVES,Oil tanker,2020.0,EIV (3.74 gCO₂/t·nm),MONROVIA,,,12/05/2021,30/06/2022,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,3004.2,,9385.65,0.0,4625.26,4304.6,455.8,,,,1567.7,182.55,3.04,,,,,570.32,9.5,,,,,,1567.7,,,,,,,,,,,,,,,
9597020,BALI,Bulk carrier,2020.0,EIV (4.56 gCO₂/t·nm),Valletta,,,13/05/2021,30/06/2022,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
9597032,TAHITI ONE,Bulk carrier,2020.0,EIV (4.56 gCO₂/t·nm),Valletta,,,13/05/2021,30/06/2022,,EMICERT,HELLENIC ACCREDITATION SYSTEM (ESYD),"Kodrou & Filellinon str., 15232, Chalandri,",ATHENS,874-4,Greece,Yes,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
9597111,WP BRAVE,Bulk carrier,2020.0,EIV (5.31 gCO₂/t·nm),Majuro,,,19/03/2021,30/06/2022,,Korean Register,DAkkS,"36, Myeongji ocean city 9-ro, Gangseo gu,

Busan, 618-814, Republic of Korea",Busan,D-VS-20824-01-00,"Korea, Republic of",,,Yes,,1262.52,,3947.09,550.62,720.99,2504.89,170.59,,,,1356.7,85.0,2.68,,,,,265.73,8.39,,,,,,1356.7,,,,,,,,,,,,,,,
9597147,GENUINE HERCULES,Chemical tanker,2020.0,EIV (7.77 gCO₂/t·nm),SINGAPORE,,,24/02/2021,30/06/2022,001,Nippon Kaiji Kyokai,Deutsche Akkredierungsstelle GmbH,"4-7, Kioi-Cho, Chiyoda-Ku","Tokyo, 102-8567",VS-21325-01,Japan,,,Yes,,2243.3,,7051.51,462.23,3306.21,2777.8,505.27,,,,2834.5,104.23,7.74,,,,,327.64,24.32,,,,,,2834.5,,,,,,,,,,,,,,,
9597240,EAGLE VANCOUVER,Oil tanker,2020.0,EIV (2.31 gCO₂/t·nm),Singapore,,,28/04/2021,30/06/2022,,DNV GL,German national accreditation body (DAkkS),Brooktorkai 18,20457 Hamburg,D-VS-16026-01-00,Germany,,,Yes,,8564.99,,27229.42,0.0,11834.45,15316.74,78.23,,,,4280.0,205.58,2.05,,,,,653.56,6.51,,,,,,4280.0,,,,,,,,,,,,,,,
