city_a,city_b,imo,companyName,ship,city_a_slug,city_b_slug,city_a_country_code,city_a_latitude,city_a_longitude,city_b_country_code,city_b_latitude,city_b_longitude,city_a_geonameid,city_b_geonameid,name
Jersey (St Helier),Saint-Malo,9551363.0,Condor Ferries,Condor Liberation,jersey-st-helier,saint-malo,JE,49.18804,-2.10491,FR,46.93333,-0.9,3042091.0,2978632.0,CONDOR LIBERATION
Kalymnos,Karpathos,9565041.0,Blue Star Ferries,Blue Star Patmos,kalymnos,karpathos,GR,36.9503,26.98388,GR,35.50701,27.21322,261507.0,260895.0,BLUE STAR PATMOS
Kalymnos,Kasos,9215555.0,Blue Star Ferries,Nissos Chios,kalymnos,kasos,GR,36.9503,26.98388,GR,35.41623,26.92328,261507.0,262217.0,NISSOS CHIOS
Kalymnos,Kastelorizo,9215555.0,Blue Star Ferries,Nissos Chios,kalymnos,kastelorizo,GR,36.9503,26.98388,GR,36.14889,29.593609999999998,261507.0,257080.0,NISSOS CHIOS
Kalymnos,Le Pirée,9215555.0,Blue Star Ferries,Nissos Chios,kalymnos,le-piree,GR,36.9503,26.98388,GR,37.942029999999995,23.64619,261507.0,255274.0,NISSOS CHIOS
Kalymnos,Lipsi,9565041.0,Blue Star Ferries,Blue Star Patmos,kalymnos,lipsi,GR,36.9503,26.98388,GR,37.28333,26.76667,261507.0,258261.0,BLUE STAR PATMOS
Kalymnos,Patmos,9207584.0,Blue Star Ferries,Blue Star 2,kalymnos,patmos,GR,36.9503,26.98388,GR,37.30895,26.54723,261507.0,255688.0,BLUE STAR 2
Kalymnos,Rhodes,9207584.0,Blue Star Ferries,Blue Star 2,kalymnos,rhodes,GR,36.9503,26.98388,GR,36.435559999999995,28.22199,261507.0,400666.0,BLUE STAR 2
Kalymnos,Symi (Simi),9215555.0,Blue Star Ferries,Nissos Chios,kalymnos,symi-simi,GR,36.9503,26.98388,GR,36.61547,27.836190000000002,261507.0,253858.0,NISSOS CHIOS
Kalymnos,Syros,9207584.0,Blue Star Ferries,Blue Star 2,kalymnos,syros,GR,36.9503,26.98388,GR,37.44997,24.93562,261507.0,264839.0,BLUE STAR 2
Kalymnos,Tilos,9565041.0,Blue Star Ferries,Blue Star Patmos,kalymnos,tilos,GR,36.9503,26.98388,GR,36.45505,27.34563,261507.0,257400.0,BLUE STAR PATMOS
Karlovassi,Kavala,9208679.0,Blue Star Ferries,Nissos Mykonos,karlovassi,kavala,GR,37.79209,26.7049,GR,40.93959,24.40687,256492.0,735861.0,NISSOS MYKONOS
Karlovassi,Limnos (Myrina),9208679.0,Blue Star Ferries,Nissos Mykonos,karlovassi,limnos-myrina,GR,37.79209,26.7049,GR,39.874829999999996,25.063589999999998,256492.0,256930.0,NISSOS MYKONOS
Karlovassi,Mykonos,9208679.0,Blue Star Ferries,Nissos Mykonos,karlovassi,mykonos,GR,37.79209,26.7049,GR,37.44529,25.32872,256492.0,257056.0,NISSOS MYKONOS
Karlovassi,Mytilene,9215555.0,Blue Star Ferries,Nissos Chios,karlovassi,mytilene,GR,37.79209,26.7049,GR,39.10772,26.555290000000003,256492.0,256866.0,NISSOS CHIOS
Karlovassi,Syros,9208679.0,Blue Star Ferries,Nissos Mykonos,karlovassi,syros,GR,37.79209,26.7049,GR,37.44997,24.93562,256492.0,264839.0,NISSOS MYKONOS
Karlovassi,Vathi,9208679.0,Blue Star Ferries,Nissos Mykonos,karlovassi,vathi,GR,37.79209,26.7049,GR,38.4049,23.60332,256492.0,252164.0,NISSOS MYKONOS
Karlshamn,Klaipeda,9136034.0,DFDS Seaways,Liverpool Seaways,karlshamn,klaipeda,SE,56.1706,14.86188,LT,55.7068,21.139120000000002,2701727.0,598098.0,LIVERPOOL SEAWAYS
Karpathos,Lipsi,9565041.0,Blue Star Ferries,Blue Star Patmos,karpathos,lipsi,GR,35.50701,27.21322,GR,37.28333,26.76667,260895.0,258261.0,BLUE STAR PATMOS
Karpathos,Patmos,9565041.0,Blue Star Ferries,Blue Star Patmos,karpathos,patmos,GR,35.50701,27.21322,GR,37.30895,26.54723,260895.0,255688.0,BLUE STAR PATMOS
Karpathos,Symi (Simi),9215555.0,Blue Star Ferries,Nissos Chios,karpathos,symi-simi,GR,35.50701,27.21322,GR,36.61547,27.836190000000002,260895.0,253858.0,NISSOS CHIOS
Kasos,Lipsi,9215555.0,Blue Star Ferries,Nissos Chios,kasos,lipsi,GR,35.41623,26.92328,GR,37.28333,26.76667,262217.0,258261.0,NISSOS CHIOS
